"unique.ID","block","water","microbe","rep","num.focal.indiv.in.bag","num.addl.focals","total.bio.percap","seeds.out.percap","ACAM","num.bg.indiv"
151,36,0.6,1,1,2,0,1.84,714.376601424421,0,0
154,24,0.6,1,1,2,0,1.31,508.605080361952,12,5
156,8,0.6,1,1,2,0,0.5205,202.083163609463,24,18
171,32,1,1,1,1,1,3.396,1318.49072741159,0,0
174,39,1,1,1,2,0,1.366,530.346976927043,12,9
176,24,1,1,1,2,0,1.2095,469.586140990673,24,11
181,5,0.6,1,2,2,0,1.4635,568.201171839479,0,0
184,35,0.6,1,2,2,0,1.532,594.79617031642,12,6
186,7,0.6,1,2,2,0,0.605,234.890132533573,24,18
201,16,1,1,2,2,0,2.185,848.3222141915,0,0
204,26,1,1,2,1,0,1.622,629.738504081745,12,11
206,13,1,1,2,2,0,1.514,587.807703563355,24,14
211,23,0.6,1,3,2,0,1.179,457.744572325757,0,0
214,14,0.6,1,3,1,1,0.874,339.3288856766,12,11
216,26,0.6,1,3,2,0,0.9605,372.912350906607,24,9
231,32,1,1,3,1,1,2.068,802.897180296578,0,0
234,18,1,1,3,2,0,1.4855,576.742631204336,12,11
236,38,1,1,3,2,0,2.9855,1159.11486062642,24,7
241,14,0.6,1,4,2,0,1.4225,552.282997568608,0,0
244,37,0.6,1,4,2,0,0.86,333.893411535327,12,6
246,23,0.6,1,4,1,1,0.828,321.46947064099,24,15
261,7,1,1,4,2,0,1.6515,641.191824593713,0,0
264,35,1,1,4,2,0,2.171,842.886740050227,12,6
266,8,1,1,4,2,0,1.168,453.473842643328,24,15
271,40,0.6,1,5,2,0,1.458,566.065806998264,0,0
274,35,0.6,1,5,2,0,1.3815,536.364823297738,12,6
276,31,0.6,1,5,2,0,0.989,383.977423265626,24,12
291,40,1,1,5,2,0,1.8365,713.017732889103,0,0
294,17,1,1,5,1,1,2.828,1097.9657765371,12,6
296,18,1,1,5,2,0,1.191,462.403550161134,24,11
