"unique.ID","water","microbe","rep","num.bg.indiv","RII","NIntA","focal","water.text","ACAM_density"
151,0.6,1,1,0,0.110909859325001,0.399347826086956,"BRHO","Low",0
154,0.6,1,1,5,-0.0584345576079925,-0.198874755381605,"BRHO","Low",12
156,0.6,1,1,18,-0.477698058301139,-0.785334268156885,"BRHO","Low",24
171,1,1,1,0,0.207810221574137,0.688221436984688,"BRHO","High",0
174,1,1,1,9,-0.239717259420048,-0.557757057757058,"BRHO","High",12
176,1,1,1,11,-0.296168058424743,-0.627307182694974,"BRHO","High",24
181,0.6,1,2,0,-0.00309934947719765,-0.0122831882297361,"BRHO","Low",0
184,0.6,1,2,6,0.0197696864807296,0.0775456919060052,"BRHO","Low",12
186,0.6,1,2,18,-0.417597227570273,-0.741475087599351,"BRHO","Low",24
201,1,1,2,0,-0.00960928292992476,-0.0373601198343467,"BRHO","High",0
204,1,1,2,11,-0.157271263053982,-0.427421632307258,"BRHO","High",12
206,1,1,2,14,-0.190677286577217,-0.485174102285092,"BRHO","High",24
211,0.6,1,3,0,-0.110725599637954,-0.332465179481373,"BRHO","Low",0
214,0.6,1,3,11,-0.255092474218018,-0.578022402471997,"BRHO","Low",12
216,0.6,1,3,9,-0.210472237063828,-0.516047765405351,"BRHO","Low",24
231,1,1,3,0,-0.0371094659403082,-0.133567957097369,"BRHO","High",0
234,1,1,3,11,-0.199816854749657,-0.499713737244468,"BRHO","High",12
236,1,1,3,7,0.145427689002283,0.507854630715123,"BRHO","High",24
241,0.6,1,4,0,-0.017305101723602,-0.0658041636566626,"BRHO","Low",0
244,0.6,1,4,6,-0.262625396553202,-0.587569537694226,"BRHO","Low",12
246,0.6,1,4,15,-0.280187777101626,-0.608917438125827,"BRHO","Low",24
261,1,1,4,0,-0.148469927041172,-0.410872899796668,"BRHO","High",0
264,1,1,4,6,-0.0128228446707894,-0.0493913652684125,"BRHO","High",12
266,1,1,4,15,-0.312010366967073,-0.644639162711452,"BRHO","High",24
271,0.6,1,5,0,-0.00498191496621859,-0.0196342119419045,"BRHO","Low",0
274,0.6,1,5,6,-0.0319189937283207,-0.116518513781416,"BRHO","Low",12
276,0.6,1,5,12,-0.196457588560286,-0.494427972599939,"BRHO","Low",24
291,1,1,5,0,-0.0961883904623637,-0.29859068861475,"BRHO","High",0
294,1,1,5,6,0.118803655497092,0.424752475247525,"BRHO","High",12
296,1,1,5,11,-0.303182775567517,-0.6350879343097,"BRHO","High",24
